timestamp,frame_id,laplacian_var,hf_energy,dark_speck_density,local_contrast,haze_veil_index,color_gray_brown_shift,illumination_level,motion_blur_flag
2026-03-16T15:43:28.351Z,0,5.550817,0.0,0.0,3.153728,0.011165,0.993561,0.011165,1
2026-03-16T15:43:28.498Z,1,10.544985,0.0,0.13515,27.741437,0.173078,0.959918,0.173078,1
2026-03-16T15:43:28.615Z,2,25.492525,0.0,0.147054,51.618081,0.426626,0.9628,0.426626,0
2026-03-16T15:43:28.762Z,3,51.590586,0.0,0.144229,54.881009,0.446421,0.952513,0.446421,0
2026-03-16T15:43:28.903Z,4,50.309887,0.0,0.143968,57.080324,0.464837,0.950503,0.464837,0
2026-03-16T15:43:29.043Z,5,47.057508,0.0,0.146383,59.164722,0.477817,0.949656,0.477817,0
2026-03-16T15:43:29.187Z,6,51.569607,0.0,0.143109,62.702214,0.492688,0.948879,0.492688,0
2026-03-16T15:43:29.329Z,7,52.427969,0.0,0.145332,63.459406,0.491059,0.948613,0.491059,0
2026-03-16T15:43:29.471Z,8,53.269851,0.0,0.145387,64.098393,0.483178,0.94813,0.483178,0
2026-03-16T15:43:29.615Z,9,54.224543,0.0,0.142969,66.454329,0.461554,0.945776,0.461554,0
2026-03-16T15:43:29.759Z,10,55.698591,0.0,0.149837,66.534569,0.452903,0.945528,0.452903,0
2026-03-16T15:43:29.904Z,11,53.697928,0.0,0.149997,66.944905,0.445131,0.946099,0.445131,0
2026-03-16T15:43:30.036Z,12,54.602307,0.0,0.144183,66.948824,0.444931,0.946281,0.444931,0
2026-03-16T15:43:30.178Z,13,54.159964,0.0,0.143994,66.930206,0.444777,0.946374,0.444777,0
2026-03-16T15:43:30.322Z,14,53.756305,0.0,0.143304,66.947945,0.444862,0.946337,0.444862,0
2026-03-16T15:43:30.465Z,15,54.710277,0.0,0.144121,66.912058,0.444954,0.946472,0.444954,0
2026-03-16T15:43:30.581Z,16,54.596393,0.0,0.143753,66.919012,0.444612,0.946415,0.444612,0
2026-03-16T15:43:30.725Z,17,54.442122,0.0,0.144183,66.912927,0.444489,0.946226,0.444489,0
2026-03-16T15:43:30.866Z,18,54.6836,0.0,0.144215,66.870349,0.444092,0.946432,0.444092,0
2026-03-16T15:43:31.009Z,19,54.062474,0.0,0.144473,66.876767,0.444049,0.946415,0.444049,0
2026-03-16T15:43:31.127Z,20,53.645898,0.0,0.14445,66.898796,0.44428,0.946444,0.44428,0
2026-03-16T15:43:31.245Z,21,53.968962,0.0,0.143558,66.847632,0.444003,0.94637,0.444003,0
2026-03-16T15:43:31.391Z,22,53.880165,0.0,0.144206,66.857897,0.443973,0.946188,0.443973,0
2026-03-16T15:43:31.533Z,23,54.528215,0.0,0.14444,66.842681,0.44384,0.946142,0.44384,0
2026-03-16T15:43:31.678Z,24,54.363185,0.0,0.144007,66.862988,0.44396,0.946163,0.44396,0
2026-03-16T15:43:31.798Z,25,54.326265,0.0,0.145355,66.871279,0.444006,0.946403,0.444006,0
2026-03-16T15:43:31.941Z,26,54.136591,0.0,0.14446,66.840348,0.444134,0.946522,0.444134,0
2026-03-16T15:43:32.058Z,27,53.506513,0.0,0.144489,66.814982,0.443972,0.946404,0.443972,0
2026-03-16T15:43:32.196Z,28,54.222076,0.0,0.144365,66.812347,0.443904,0.946273,0.443904,0
2026-03-16T15:43:32.339Z,29,53.538427,0.0,0.144395,66.828956,0.443759,0.94651,0.443759,0
2026-03-16T15:43:32.456Z,30,53.829511,0.0,0.144352,66.789514,0.444016,0.946409,0.444016,0
2026-03-16T15:43:32.599Z,31,53.305485,0.0,0.144339,66.815825,0.4443,0.946365,0.4443,0
2026-03-16T15:43:32.717Z,32,54.363172,0.0,0.144613,66.834636,0.444081,0.946344,0.444081,0
2026-03-16T15:43:32.835Z,33,53.943749,0.0,0.144089,66.822213,0.44405,0.946291,0.44405,0
2026-03-16T15:43:32.977Z,34,53.777004,0.0,0.143525,66.823892,0.444047,0.946406,0.444047,0
2026-03-16T15:43:33.120Z,35,53.975525,0.0,0.144811,66.860253,0.444134,0.946304,0.444134,0
2026-03-16T15:43:33.236Z,36,53.633298,0.0,0.144342,66.857152,0.444304,0.946378,0.444304,0
2026-03-16T15:43:33.354Z,37,53.65307,0.0,0.1496,66.846661,0.445027,0.946351,0.445027,0
2026-03-16T15:43:33.496Z,38,53.303037,0.0,0.144544,66.820272,0.444283,0.946316,0.444283,0
2026-03-16T15:43:33.637Z,39,53.915233,0.0,0.145544,66.853439,0.443879,0.946384,0.443879,0
2026-03-16T15:43:33.754Z,40,53.412642,0.0,0.14516,66.845862,0.443561,0.946368,0.443561,0
2026-03-16T15:43:33.896Z,41,53.407534,0.0,0.145225,66.837005,0.443613,0.946515,0.443613,0
2026-03-16T15:43:34.038Z,42,54.305714,0.0,0.145462,66.799071,0.443297,0.946372,0.443297,0
2026-03-16T15:43:34.180Z,43,55.002972,0.0,0.144528,66.803364,0.443704,0.946432,0.443704,0
2026-03-16T15:43:34.298Z,44,53.790622,0.0,0.144531,66.706986,0.44328,0.946337,0.44328,0
2026-03-16T15:43:34.414Z,45,54.010129,0.0,0.144909,66.763195,0.442983,0.946265,0.442983,0
2026-03-16T15:43:34.556Z,46,55.419052,0.0,0.145765,66.793789,0.441965,0.946521,0.441965,0
2026-03-16T15:43:34.699Z,47,54.63112,0.0,0.149434,66.788518,0.440335,0.946484,0.440335,0
2026-03-16T15:43:34.816Z,48,59.358105,0.0,0.144235,67.418472,0.434311,0.945817,0.434311,0
2026-03-16T15:43:34.933Z,49,59.67635,0.0,0.14389,67.501985,0.434666,0.945896,0.434666,0
2026-03-16T15:43:35.075Z,50,57.717321,0.0,0.147321,56.95757,0.390791,0.950642,0.390791,0
2026-03-16T15:43:35.218Z,51,33.233916,0.0,0.147887,44.273804,0.466554,0.909069,0.466554,0
2026-03-16T15:43:35.363Z,52,27.868111,0.0,0.141569,13.338493,0.070416,0.946278,0.070416,0
2026-03-16T15:43:35.475Z,53,5.928626,0.0,0.112432,3.138777,0.04134,0.952715,0.04134,1
2026-03-16T15:43:35.620Z,54,5.126393,0.0,0.090687,2.817074,0.036336,0.952371,0.036336,1
2026-03-16T15:43:35.763Z,55,3.508571,0.0,0.114297,1.94325,0.023276,0.963634,0.023276,1
2026-03-16T15:43:35.879Z,56,2.643411,0.0,0.092305,1.275008,0.015237,0.975345,0.015237,1
2026-03-16T15:43:35.997Z,57,2.707663,0.0,0.076943,1.28686,0.015593,0.97491,0.015593,1
2026-03-16T15:43:36.140Z,58,5.731771,0.0,0.103773,4.928852,0.034663,0.960209,0.034663,1
2026-03-16T15:43:36.283Z,59,27.26611,0.0,0.138568,22.32638,0.339891,0.928478,0.339891,0
2026-03-16T15:43:36.400Z,60,64.947423,0.0,0.144583,47.154184,0.437772,0.939518,0.437772,0
2026-03-16T15:43:36.545Z,61,45.158271,0.0,0.141943,30.287695,0.224103,0.961952,0.224103,0
2026-03-16T15:43:36.687Z,62,37.016914,0.0,0.145651,24.536092,0.338637,0.960915,0.338637,0
2026-03-16T15:43:36.833Z,63,39.899533,0.0,0.146292,10.956761,0.348407,0.959208,0.348407,0
2026-03-16T15:43:36.950Z,64,11.651907,0.0,0.112002,11.42745,0.140148,0.980114,0.140148,1
2026-03-16T15:43:37.095Z,65,6.714193,0.0,0.125605,10.350218,0.115309,0.981814,0.115309,1
2026-03-16T15:43:37.240Z,66,5.754941,0.0,0.12487,9.924581,0.098899,0.97934,0.098899,1
2026-03-16T15:43:37.385Z,67,5.691904,0.0,0.141367,8.987651,0.089601,0.977909,0.089601,1
2026-03-16T15:43:37.526Z,68,6.172048,0.0,0.122249,5.443208,0.087166,0.977775,0.087166,1
2026-03-16T15:43:37.647Z,69,6.055071,0.0,0.115182,4.91164,0.074031,0.980033,0.074031,1
2026-03-16T15:43:37.791Z,70,5.295023,0.0,0.097646,4.631949,0.046127,0.977194,0.046127,1
2026-03-16T15:43:37.933Z,71,5.107467,0.0,0.100677,4.27129,0.03627,0.973683,0.03627,1
2026-03-16T15:43:38.077Z,72,5.453037,0.0,0.105518,4.831036,0.038687,0.971855,0.038687,1
2026-03-16T15:43:38.223Z,73,5.706546,0.0,0.146396,5.362177,0.042009,0.970624,0.042009,1
2026-03-16T15:43:38.340Z,74,5.953958,0.0,0.130492,5.64896,0.044366,0.968925,0.044366,1
2026-03-16T15:43:38.485Z,75,6.110135,0.0,0.131641,5.79482,0.04504,0.967842,0.04504,1
2026-03-16T15:43:38.603Z,76,6.120648,0.0,0.140176,5.762479,0.044124,0.967887,0.044124,1
2026-03-16T15:43:38.748Z,77,6.047881,0.0,0.099111,5.791088,0.04358,0.968114,0.04358,1
2026-03-16T15:43:38.865Z,78,6.043314,0.0,0.103047,5.83753,0.043472,0.968167,0.043472,1
2026-03-16T15:43:39.008Z,79,5.990937,0.0,0.106452,5.840441,0.043252,0.967799,0.043252,1
2026-03-16T15:43:39.126Z,80,6.028887,0.0,0.112497,5.820861,0.042854,0.968274,0.042854,1
2026-03-16T15:43:39.270Z,81,6.04804,0.0,0.115768,5.813474,0.042366,0.968413,0.042366,1
2026-03-16T15:43:39.413Z,82,5.968678,0.0,0.125618,5.827983,0.041832,0.968902,0.041832,1
2026-03-16T15:43:39.532Z,83,6.02264,0.0,0.129108,5.78103,0.04142,0.969032,0.04142,1
2026-03-16T15:43:39.676Z,84,6.117679,0.0,0.122253,5.852236,0.042175,0.968748,0.042175,1
2026-03-16T15:43:39.821Z,85,6.094961,0.0,0.125892,5.837587,0.041867,0.968602,0.041867,1
2026-03-16T15:43:39.964Z,86,6.094368,0.0,0.128258,5.750373,0.04134,0.968395,0.04134,1
2026-03-16T15:43:40.079Z,87,6.103805,0.0,0.141097,5.652069,0.040238,0.968664,0.040238,1
2026-03-16T15:43:40.196Z,88,6.068359,0.0,0.147809,5.61451,0.039661,0.968596,0.039661,1
2026-03-16T15:43:40.341Z,89,6.041158,0.0,0.104701,5.536002,0.039025,0.96864,0.039025,1
2026-03-16T15:43:40.487Z,90,6.038861,0.0,0.108857,5.470478,0.038403,0.968605,0.038403,1
2026-03-16T15:43:40.629Z,91,6.030732,0.0,0.112917,5.437202,0.03795,0.968661,0.03795,1
2026-03-16T15:43:40.771Z,92,5.996917,0.0,0.112096,5.368725,0.037804,0.968844,0.037804,1
2026-03-16T15:43:40.905Z,93,6.048437,0.0,0.111556,5.457138,0.038319,0.968803,0.038319,1
2026-03-16T15:43:41.051Z,94,6.08651,0.0,0.104567,5.522432,0.038951,0.968787,0.038951,1
2026-03-16T15:43:41.194Z,95,22.187963,0.0,0.149355,38.653605,0.310939,0.936567,0.310939,0
2026-03-16T15:43:41.339Z,96,56.035956,0.0,0.148581,47.60833,0.588114,0.91364,0.588114,0
2026-03-16T15:43:41.484Z,97,49.164721,0.0,0.145371,56.304729,0.556977,0.913663,0.556977,0
2026-03-16T15:43:41.601Z,98,45.4542,0.0,0.14777,59.048306,0.532102,0.925096,0.532102,0
2026-03-16T15:43:41.720Z,99,46.154889,0.0,0.14779,61.969239,0.531894,0.937605,0.531894,0
2026-03-16T15:43:41.862Z,100,51.062027,0.0,0.145866,66.075383,0.501118,0.944532,0.501118,0
2026-03-16T15:43:42.004Z,101,51.373846,0.0,0.147604,67.40639,0.485559,0.951057,0.485559,0
2026-03-16T15:43:42.144Z,102,51.173926,0.0,0.143577,68.314408,0.482815,0.951367,0.482815,0
2026-03-16T15:43:42.286Z,103,50.492284,0.0,0.144063,68.527782,0.482719,0.951049,0.482719,0
2026-03-16T15:43:42.426Z,104,50.12286,0.0,0.144352,68.714998,0.48304,0.951154,0.48304,0
2026-03-16T15:43:42.568Z,105,49.328445,0.0,0.144909,68.749023,0.48239,0.951288,0.48239,0
2026-03-16T15:43:42.697Z,106,49.976518,0.0,0.145055,68.72412,0.481357,0.951328,0.481357,0
2026-03-16T15:43:42.841Z,107,49.733578,0.0,0.145033,68.678548,0.480795,0.951225,0.480795,0
2026-03-16T15:43:42.986Z,108,49.557697,0.0,0.145492,68.648178,0.480095,0.951355,0.480095,0
2026-03-16T15:43:43.104Z,109,50.328598,0.0,0.14484,68.554304,0.479755,0.951408,0.479755,0
2026-03-16T15:43:43.245Z,110,52.836325,0.0,0.14252,68.206551,0.478282,0.951385,0.478282,0
2026-03-16T15:43:43.389Z,111,50.873998,0.0,0.144521,68.163988,0.47652,0.951637,0.47652,0
2026-03-16T15:43:43.533Z,112,51.860027,0.0,0.144587,68.265572,0.476605,0.95172,0.476605,0
2026-03-16T15:43:43.649Z,113,50.745476,0.0,0.145003,68.261077,0.475557,0.951527,0.475557,0
2026-03-16T15:43:43.763Z,114,50.65324,0.0,0.145882,68.175108,0.474444,0.951459,0.474444,0
2026-03-16T15:43:43.879Z,115,51.618127,0.0,0.146953,68.157429,0.473133,0.951756,0.473133,0
2026-03-16T15:43:43.998Z,116,51.345722,0.0,0.147161,68.029448,0.47174,0.951723,0.47174,0
2026-03-16T15:43:44.137Z,117,50.110039,0.0,0.147402,68.014652,0.472379,0.951682,0.472379,0
2026-03-16T15:43:44.267Z,118,50.039186,0.0,0.147041,68.006564,0.472722,0.951769,0.472722,0
2026-03-16T15:43:44.397Z,119,50.060029,0.0,0.146719,68.02339,0.472998,0.951444,0.472998,0
2026-03-16T15:43:44.542Z,120,49.847714,0.0,0.146478,68.102479,0.473433,0.951608,0.473433,0
2026-03-16T15:43:44.684Z,121,49.573724,0.0,0.146768,68.15332,0.473676,0.951532,0.473676,0
2026-03-16T15:43:44.825Z,122,50.060937,0.0,0.14693,68.249773,0.474897,0.951671,0.474897,0
2026-03-16T15:43:44.966Z,123,49.599345,0.0,0.146136,68.274989,0.475534,0.951595,0.475534,0
2026-03-16T15:43:45.096Z,124,50.314359,0.0,0.146367,68.367728,0.476235,0.951431,0.476235,0
2026-03-16T15:43:45.218Z,125,49.826439,0.0,0.146484,68.430276,0.476707,0.951454,0.476707,0
2026-03-16T15:43:45.361Z,126,49.719906,0.0,0.145378,68.448979,0.477488,0.95135,0.477488,0
2026-03-16T15:43:45.478Z,127,50.354527,0.0,0.14542,68.391453,0.477279,0.951466,0.477279,0
2026-03-16T15:43:45.595Z,128,48.796136,0.0,0.146136,68.391754,0.476468,0.951599,0.476468,0
2026-03-16T15:43:45.738Z,129,45.945097,0.0,0.142627,68.398141,0.479395,0.951306,0.479395,0
2026-03-16T15:43:45.882Z,130,50.265467,0.0,0.145658,68.266085,0.476127,0.951667,0.476127,0
2026-03-16T15:43:46.023Z,131,49.628425,0.0,0.144759,68.35074,0.476452,0.951668,0.476452,0
2026-03-16T15:43:46.142Z,132,51.463238,0.0,0.141605,68.289234,0.477229,0.951603,0.477229,0
2026-03-16T15:43:46.284Z,133,49.887976,0.0,0.14194,68.291136,0.476793,0.951696,0.476793,0
2026-03-16T15:43:46.417Z,134,49.468327,0.0,0.142767,68.309705,0.47613,0.951789,0.47613,0
2026-03-16T15:43:46.559Z,135,48.724037,0.0,0.142708,68.296908,0.476511,0.951848,0.476511,0
2026-03-16T15:43:46.675Z,136,51.318191,0.0,0.144505,68.423739,0.475642,0.95157,0.475642,0
2026-03-16T15:43:46.791Z,137,51.226373,0.0,0.145202,68.473689,0.475309,0.951801,0.475309,0
2026-03-16T15:43:46.932Z,138,49.203608,0.0,0.145065,68.554525,0.475723,0.95151,0.475723,0
2026-03-16T15:43:47.074Z,139,48.299815,0.0,0.145739,68.626645,0.475982,0.951572,0.475982,0
